apples,banana,coke,turkey,bourbon,ice_cream,baguette,soda,choclate,cracker,cosmetics,avocado,artichoke,sardines
No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No
No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No
No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No
No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No
No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes
No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes
Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No
No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No
Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No
No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No
No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No
No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No
No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No
No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No
No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes
No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes
No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No
No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No
No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes
No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes
No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes
No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No
No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No
No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No
No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No
No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes
No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes
No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes
No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes
No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No
No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes
No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes
No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No
No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No
No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes
No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes
No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No
No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes
No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes
No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No
Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes
No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes
No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes
No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No
No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes
No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes
No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No
No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes
No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes
No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No
No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No
No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes
No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No
No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No
No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No
No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes
No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No
No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes
No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No
No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No
No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No
No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes
No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No
No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No
No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No
No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No
No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No
No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No
No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes
No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes
No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes
No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes
No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes
No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No
No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes
No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No
No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No
No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes
No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes
No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No
Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes
No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes
No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes
No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes
No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes
No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No
No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No
No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes
No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes
No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No
No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes
No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes
No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No
No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes
No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No
No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes
No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes
No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes
No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes
No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes
No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No
No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes
No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No
No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No
No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No
No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes
No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes
No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes
No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes
No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes
No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes
No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No
No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes
No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No
No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No
No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes
No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No
No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes
No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes
No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes
No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes
No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes
No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No
No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No
No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes
No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes
No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No
No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes
No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes
No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes
No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No
No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No
No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No
No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No
No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No
No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes
No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No
No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No
No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No
No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes
No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes
No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No
No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No
No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes
No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes
No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No
No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No
No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No
No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes
No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes
No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes
No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No
No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No
No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No
No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No
No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No
No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No
No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No
No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes
No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes
No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes
No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No
No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No
No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No
No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No
No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No
No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes
No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes
No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes
No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes
No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes
No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes
No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes
No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes
Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No
No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No
No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No
No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No
No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes
No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes
No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No
No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No
No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes
No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No
Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes
No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes
No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes
No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No
No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No
No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes
No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes
No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes
No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No
No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes
No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No
No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes
No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No
No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes
No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes
No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes
No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes
No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No
No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No
No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No
No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No
No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No
No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes
No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No
Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No
No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes
Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No
No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No
No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes
No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No
No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes
No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No
Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No
No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes
Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No
No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes
No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes
No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes
No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes
No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No
No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No
No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes
No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No
No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes
No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No
No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No
No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes
No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No
No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No
No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes
No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No
No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes
No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes
No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No
No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No
No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes
